role	name	jobGrowName	fame	officialEquipmentPoint	officialBuffPoint	officialBufferCharacter	weaponRarity	weaponReinforce	weaponRefine	amplificationSum	amplificationCount	reinforceSum	tuneSum	tune3Count	titleName	titleLevelTag	setName	setRarity	setPoint	setPointMin	setPointAdjusted	setFinalDamage	setBuffPower	setFame	setEpicCount	setPrimevalCount	tuneSetPointSum	avatarCount	rareAvatarCount	activePlatinumCount	activePlatinumSlots	activeJacketOption	activePantsOption	creatureName	creatureRarity	artifactCount	artifactUniqueCount	buffSkillName	buffSkillLevel	buffEquipmentCount	buffFragmentCount	buffDenseFragmentCount	buffTitleName	buffTitleLevelTag	buffAvatarCount	buffTopAvatar	buffPantsAvatar	buffTopOption	buffPantsOption	buffPlatinumCount	buffPlatinumSlots	buffCreatureCount	buffCreatureName	str	int	vit	spr	physicalAttack	magicalAttack	independentAttack	element	elementDamage	attackIncrease	attackAmplification	finalDamageIncrease	cooldownReduction	buffPower	buffAmplification
hell	마키로그	眞 로그	116721.0	150173	0	False	태초	13	0	114	11	127	7	2	프로스트의 전설 플래티넘[35Lv]	35	로열 페어리 세트	태초	2685.0	2550.0	0	462.8	50400.0	23000.0	8	3	2685.0	11	10	2	['상의 아바타', '하의 아바타']	로그의 무기 마스터리 스킬Lv +1	HP MAX 400 증가	운명을 담는 여신[35Lv]	레어	3	3	셰이크 다운	20.0	13	9	9	모험가의 의지[어둠]	0	2	True	True	셰이크 다운 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	파핑파핑 8비트 도적	6679.0	4652.0	4388.0	4550.0	5092.0	3397.0	3397.0	306.0	142.7	71104.5	73.0	59166944.0	30.7	0	0
hell	마키남멬	眞 메카닉	111707.0	89142	0	False	태초	12	8	64	9	96	7	2	프로스트의 전설	0	용투장의 제왕 세트	태초	2655.0	2550.0	0	594.1	50400.0	23000.0	8	3	2655.0	11	10	2	['상의 아바타', '하의 아바타']	아크리액터 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사	레어	3	2	로보틱스	20.0	1	0	0	상상의 나래[버프 강화]	0	2	True	True	로보틱스 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	던슐랭의 점원 아리스	4544.0	5913.0	4422.0	4678.0	3187.0	3187.0	3328.0	311.0	144.95	71104.5	73.0	31766094.0	44.6	0	0
hell	마키남슾	眞 스트리트파이터	111396.0	89436	0	False	태초	13	0	100	10	125	11	3	운명이 담긴 책[30Lv]	30	발키리, 발할라의 인도자 세트	태초	2695.0	2550.0	0	569.8	50400.0	23000.0	8	3	2695.0	11	10	2	['상의 아바타', '하의 아바타']	도발 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사 플래티넘[30Lv]	레어	3	2	뒷골목 싸움법	20.0	13	9	9	아라드 윈터 캠프[버프 강화]	0	2	True	True	뒷골목 싸움법 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	차원의 모범생 로지	6290.0	6290.0	4396.0	4333.0	4568.0	4568.0	3435.0	311.0	144.95	71104.5	73.0	44050480.0	30.7	0	0
hell	마키듀얼	眞 듀얼리스트	111653.0	94908	0	False	태초	13	0	103	10	127	7	2	프로스트의 전설 플래티넘[75Lv]	75	영원히 이어지는 황금향 세트	태초	2655.0	2550.0	0	532.7	50400.0	23000.0	8	3	2655.0	11	10	2	['상의 아바타', '하의 아바타']	미라지 부스트 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사	레어	3	3	오러 랜스	20.0	13	9	9	모험가의 의지[물]	0	2	True	True	오러 랜스 스킬Lv +1	MP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	SD 사랑의 축가 세리아	6543.0	4633.0	4558.0	4437.0	4213.0	3398.0	3398.0	311.0	144.95	71104.5	73.0	48462128.0	30.7	0	0
hell	마키헌터	眞 헌터	110820.0	81037	0	False	태초	12	0	70	8	112	11	3	프로스트의 전설	0	발키리, 발할라의 인도자 세트	태초	2695.0	2550.0	0	569.8	50400.0	23000.0	8	3	2695.0	11	10	2	['상의 아바타', '하의 아바타']	사냥감 식별 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사	레어	3	3	사냥을 시작해볼까!	20.0	1	0	0	모험가의 의지[어둠]	0	2	True	True	사냥을 시작해볼까! 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	파핑파핑 8비트 아처	6075.0	4517.0	4574.0	4228.0	4060.0	3197.0	3197.0	302.0	140.9	71104.5	73.0	32913510.0	44.6	0	0
hell	마키비질	眞 비질란테	110456.0	86833	0	False	태초	13	0	76	10	99	8	2	프로스트의 전설	0	실재하는 죽음의 평면 세트	태초	2665.0	2550.0	0	615.4	50400.0	23000.0	8	3	2665.0	11	10	2	['상의 아바타', '하의 아바타']	특이체질 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사	레어	3	2	하악질	20.0	13	9	9	모험가의 의지[빛]	0	2	True	True	하악질 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	파핑파핑 8비트 아처	4567.0	6156.0	4336.0	4688.0	3357.0	3357.0	3357.0	307.0	143.15	71104.5	73.0	37332032.0	44.6	0	0
hell	마키엘븐	眞 엘븐나이트	110270.0	83552	0	False	태초	13	8	100	10	125	12	4	프로스트의 전설 플래티넘[35Lv]	35	용투장의 제왕 세트	태초	2685.0	2550.0	0	594.1	50400.0	23000.0	8	3	2685.0	12	11	2	['상의 아바타', '하의 아바타']	대자연의 가호 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사 플래티넘[35Lv]	레어	3	3	워크라이	30.0	13	9	9	단진의 완벽한 휴가[버프 강화]	0	2	True	True	워크라이 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	파핑파핑 8비트 나이트	6354.0	4622.0	4567.0	4391.0	4747.0	3440.0	3440.0	311.0	144.95	71104.5	73.0	41331888.0	30.7	0	0
hell	마키여슼	眞 스트라이커	108248.0	64608	0	False	태초	12	8	52	8	94	7	2	프로스트의 전설	0	용투장의 제왕 세트	태초	2655.0	2550.0	0	594.1	50400.0	23000.0	8	3	2655.0	11	9	2	['상의 아바타', '하의 아바타']	급소 지정 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사	레어	3	1	강권	30.0	1	0	0	아라드 윈터 페스티벌[버프 강화]	0	2	True	True	강권 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	Miss.바니바니	5627.0	4480.0	4359.0	4356.0	3183.0	3183.0	3324.0	302.0	140.9	71104.5	73.0	33260282.0	30.7	0	0
hell	마키트븜	眞 트래블러	107268.0	58926	0	False	태초	12	0	54	8	96	7	2	천둥 신의 무구[35Lv]	35	용투장의 제왕 세트	태초	2655.0	2550.0	0	594.1	50400.0	23000.0	8	3	2655.0	11	9	2	['상의 아바타', '하의 아바타']	여행자의 직감 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사	레어	3	1	익사이팅	20.0	1	0	0	모험가의 의지[빛]	0	2	True	True	익사이팅 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	SD 열정의 축가 세리아	5539.0	4444.0	4264.0	4353.0	4653.0	3187.0	3187.0	302.0	140.9	71104.5	73.0	28261096.0	30.7	0	0
hell	마키키멜	眞 키메라	106124.0	57000	0	False	태초	13	0	46	9	79	10	3	프로스트의 전설 플래티넘[80Lv]	80	실재하는 죽음의 평면 세트	태초	2685.0	2550.0	0	615.4	50400.0	23000.0	8	3	2685.0	11	10	2	['상의 아바타', '하의 아바타']	복제의 유산 스킬Lv +1	HP MAX 400 증가	운명을 담는 재단사	레어	3	1	큐브 오브 마테리얼리즘	20.0	13	9	9	모험가의 의지[빛]	0	2	True	True	큐브 오브 마테리얼리즘 스킬Lv +1	HP MAX 400 증가	2	['상의 아바타', '하의 아바타']	1	파핑파핑 8비트 아처	5569.0	4784.0	4467.0	4338.0	3357.0	3357.0	3357.0	307.0	143.15	71104.5	73.0	23982296.0	44.6	0	0
